Account Name:,TOLU BAKARE
Account Number:,0123456789
Period:,01-Aug-2026 to 30-Sep-2026

Trans Date,Reference,Narration,Debit,Credit,Balance
13-Aug-2026,REF741246,"COMMISSION ON NIP TRANSFER","53.75",,"349,130.67"
13-Aug-2026,REF741283,"VAT ON NIP TRANSFER COMMISSION","4.03",,"349,126.64"
14-Aug-2026,REF741320,"WEB PURCHASE CHOWDECK/PAYSTACK","6,200.00",,"342,926.64"
14-Aug-2026,REF741357,"FAIRMONEY MFB/LOAN DISBURSEMENT",,"100,000.00","442,926.64"
14-Aug-2026,REF741394,"EMTL CHARGE ON CREDIT TXN","50.00",,"442,876.64"
15-Aug-2026,REF741431,"PIGGYVEST AUTOSAVE","20,000.00",,"422,876.64"
16-Aug-2026,REF741468,"ATM WDL @ FIRSTBANK ALLEN AVENUE","20,000.00",,"402,876.64"
17-Aug-2026,REF741505,"UBER *TRIP HELP.UBER.COM","4,100.00",,"398,776.64"
18-Aug-2026,REF741542,"DSTV COMPACT RENEWAL/QUICKTELLER","15,700.00",,"383,076.64"
19-Aug-2026,REF741579,"SPOTIFY P1F9A2 STOCKHOLM","1,900.00",,"381,176.64"
20-Aug-2026,REF741616,"ADEBAYO SMS VENTURES/flyer printing","18,000.00",,"363,176.64"
20-Aug-2026,REF741653,"COMMISSION ON NIP TRANSFER","26.88",,"363,149.76"
20-Aug-2026,REF741690,"VAT ON NIP TRANSFER COMMISSION","2.02",,"363,147.74"
21-Aug-2026,REF741727,"JUMIA ONLINE/PAYSTACK order JM2291","23,999.00",,"339,148.74"
22-Aug-2026,REF741764,"BET9JA ONLINE DEPOSIT","10,000.00",,"329,148.74"
23-Aug-2026,REF741801,"LAWMA WASTE BILL Q3","4,500.00",,"324,648.74"
24-Aug-2026,REF741838,"ESTATE SERVICE CHARGE Q3 - PARKVIEW RA","45,000.00",,"279,648.74"
24-Aug-2026,REF741875,"COMMISSION ON NIP TRANSFER","26.88",,"279,621.86"
24-Aug-2026,REF741912,"VAT ON NIP TRANSFER COMMISSION","2.02",,"279,619.84"
25-Aug-2026,REF741949,"SALARY AUG 2026 NATIVE BRANDS LTD/NIP",,"850,000.00","1,129,619.84"
25-Aug-2026,REF741986,"ELECTRONIC MONEY TRANSFER LEVY","50.00",,"1,129,569.84"
26-Aug-2026,REF742023,"LIRS PAYE REMITA 3302","15,000.00",,"1,114,569.84"
27-Aug-2026,REF742060,"PAYMENT TO ADEWALE GAS & PLUMBING SERVICES","12,000.00",,"1,102,569.84"
27-Aug-2026,REF742097,"COMMISSION ON NIP TRANSFER","26.88",,"1,102,542.96"
27-Aug-2026,REF742134,"VAT ON NIP TRANSFER COMMISSION","2.02",,"1,102,540.94"
28-Aug-2026,REF742171,"CASH DEPOSIT - IKOYI BRANCH",,"40,000.00","1,142,540.94"
28-Aug-2026,REF742208,"EMTL CHARGE ON CREDIT TXN","50.00",,"1,142,490.94"
31-Aug-2026,REF742245,"INTEREST CREDIT JUL-AUG",,"312.45","1,142,803.39"
31-Aug-2026,REF742282,"SMS ALERT CHARGES AUG 2026","196.00",,"1,142,607.39"
01-Sep-2026,REF742319,"TRANSFER FROM OLUWASEUN ADEBAYO/KUDA/rent",,"150,000.00","1,292,607.39"
01-Sep-2026,REF742356,"ELECTRONIC MONEY TRANSFER LEVY","50.00",,"1,292,557.39"
02-Sep-2026,REF742393,"IKEDC PREPAID TOKEN MTR 04512345","25,000.00",,"1,267,557.39"
02-Sep-2026,REF742430,"MTN VTU AIRTIME 08031234567","5,000.00",,"1,262,557.39"
03-Sep-2026,REF742467,"TRF TO MRS FOLASADE BAKARE/upkeep","60,000.00",,"1,202,557.39"
03-Sep-2026,REF742504,"COMMISSION ON NIP TRANSFER","53.75",,"1,202,503.64"
03-Sep-2026,REF742541,"VAT ON NIP TRANSFER COMMISSION","4.03",,"1,202,499.61"
03-Sep-2026,REF742578,"SCHOOL FEES - GREENFIELD ACADEMY/1ST TERM","180,000.00",,"1,022,499.61"
03-Sep-2026,REF742615,"COMMISSION ON NIP TRANSFER","53.75",,"1,022,445.86"
03-Sep-2026,REF742652,"VAT ON NIP TRANSFER COMMISSION","4.03",,"1,022,441.83"
04-Sep-2026,REF742689,"POS PURCHASE @ SHOPRITE LEKKI LA LANG","42,300.00",,"980,141.83"
05-Sep-2026,REF742726,"BOLT.EU/O/2608 RIDE LAGOS","3,450.00",,"976,691.83"
05-Sep-2026,REF742763,"RCCG TITHE/FLUTTERWAVE","85,000.00",,"891,691.83"
06-Sep-2026,REF742800,"POS PURCHASE @ BETTYS KITCHEN IKEJA","8,500.00",,"883,191.83"
06-Sep-2026,REF742837,"BRIGHTPATH MEDIA/INV-0051",,"250,000.00","1,133,191.83"
06-Sep-2026,REF742874,"EMTL CHARGE ON CREDIT TXN","50.00",,"1,133,141.83"
07-Sep-2026,REF742911,"DATA BUNDLE AIRTEL 20GB MONTHLY","10,000.00",,"1,123,141.83"
08-Sep-2026,REF742948,"NETFLIX.COM SUBSCRIPTION CARD 5399****1182","6,500.00",,"1,116,641.83"
08-Sep-2026,REF742985,"NIP FROM KEMI ADEYEMI/rent - flat 2 tenant",,"400,000.00","1,516,641.83"
08-Sep-2026,REF743022,"EMTL CHARGE ON CREDIT TXN","50.00",,"1,516,591.83"
09-Sep-2026,REF743059,"CARBON LOAN REPAYMENT DD 000231","45,000.00",,"1,471,591.83"
10-Sep-2026,REF743096,"UBER *EATS PENDING LAGOS","9,800.00",,"1,461,791.83"
10-Sep-2026,REF743133,"DATA ANALYTICS COURSE - UDEMY","14,500.00",,"1,447,291.83"
11-Sep-2026,REF743170,"TOTAL ENERGIES LEKKI FUEL POS","30,000.00",,"1,417,291.83"
12-Sep-2026,REF743207,"SPORTYBET WALLET FUNDING/PAYSTACK","5,000.00",,"1,412,291.83"
12-Sep-2026,REF743244,"VAT REFUND FIRS/REMITA",,"38,000.00","1,450,291.83"
12-Sep-2026,REF743281,"EMTL CHARGE ON CREDIT TXN","50.00",,"1,450,241.83"
13-Sep-2026,REF743318,"TRF TO SELF/TOLU BAKARE/OPAY","100,000.00",,"1,350,241.83"
13-Sep-2026,REF743355,"COMMISSION ON NIP TRANSFER","53.75",,"1,350,188.08"
13-Sep-2026,REF743392,"VAT ON NIP TRANSFER COMMISSION","4.03",,"1,350,184.05"
14-Sep-2026,REF743429,"WEB PURCHASE CHOWDECK/PAYSTACK","6,200.00",,"1,343,984.05"
15-Sep-2026,REF743466,"PIGGYVEST AUTOSAVE","20,000.00",,"1,323,984.05"
15-Sep-2026,REF743503,"PIGGYVEST WITHDRAWAL TO BANK",,"50,000.00","1,373,984.05"
15-Sep-2026,REF743540,"ELECTRONIC MONEY TRANSFER LEVY","50.00",,"1,373,934.05"
16-Sep-2026,REF743577,"ATM WDL @ FIRSTBANK ALLEN AVENUE","20,000.00",,"1,353,934.05"
16-Sep-2026,REF743614,"REDDINGTON HOSPITAL CONSULTATION","25,000.00",,"1,328,934.05"
17-Sep-2026,REF743651,"UBER *TRIP HELP.UBER.COM","4,100.00",,"1,324,834.05"
18-Sep-2026,REF743688,"DSTV COMPACT RENEWAL/QUICKTELLER","15,700.00",,"1,309,134.05"
19-Sep-2026,REF743725,"SPOTIFY P1F9A2 STOCKHOLM","1,900.00",,"1,307,234.05"
19-Sep-2026,REF743762,"TRF FROM TOLU BAKARE/OPAY/move back",,"30,000.00","1,337,234.05"
20-Sep-2026,REF743799,"SALARY ADVANCE REPAYMENT - NATIVE BRANDS","50,000.00",,"1,287,234.05"
22-Sep-2026,REF743836,"BET9JA ONLINE DEPOSIT","10,000.00",,"1,277,234.05"
24-Sep-2026,REF743873,"POS CASH OUT AGENT MOSES OGBA","10,000.00",,"1,267,234.05"
25-Sep-2026,REF743910,"SALARY SEP 2026 NATIVE BRANDS LTD/NIP",,"850,000.00","2,117,234.05"
25-Sep-2026,REF743947,"ELECTRONIC MONEY TRANSFER LEVY","50.00",,"2,117,184.05"
27-Sep-2026,REF743984,"PAYMENT TO ADEWALE GAS & PLUMBING SERVICES","12,000.00",,"2,105,184.05"
27-Sep-2026,REF744021,"COMMISSION ON NIP TRANSFER","26.88",,"2,105,157.17"
27-Sep-2026,REF744058,"VAT ON NIP TRANSFER COMMISSION","2.02",,"2,105,155.15"
30-Sep-2026,REF744095,"SMS ALERT CHARGES SEP 2026","196.00",,"2,104,959.15"
30-Sep-2026,REF744132,"CARD MAINTENANCE FEE Q3","150.00",,"2,104,809.15"
30-Sep-2026,REF744169,"VAT ON CARD MAINTENANCE FEE","11.25",,"2,104,797.90"
